income,expenses,loanamount,term_years,loan_approved
90000,27000,292000,15,0
71000,32000,156000,10,0
94000,62500,222000,10,0
121000,82000,163000,5,0
68000,22000,247000,10,0
68000,24000,262000,5,0
122000,37000,341000,5,0
98000,63500,101000,20,0
61000,20000,145000,20,0
91000,31000,142000,5,0
61000,24000,127000,30,0
61000,40500,175000,10,0
82000,47000,61000,30,0
20000,11000,24000,30,0
23000,14000,72000,5,0
58000,33500,37000,5,0
45000,27000,117000,30,0
84000,27500,121000,10,0
48000,25500,176000,15,0
33000,20000,113000,30,0
119000,62500,442000,15,0
68000,20500,56000,5,1
77000,29500,307000,20,0
32000,22000,32000,10,0
59000,34500,209000,5,0
78000,45000,142000,30,0
40000,22500,154000,30,0
86000,30000,43000,30,1
57000,17000,166000,20,0
66000,31500,263000,20,0
57000,27000,167000,30,0
131000,82000,389000,15,0
75000,28000,213000,10,0
43000,17500,169000,5,0
100000,33000,301000,10,0
38000,17500,85000,30,0
81000,32500,111000,30,1
20000,8000,64000,15,0
35000,14000,37000,10,0
81000,32000,58000,30,0
97000,41500,308000,30,0
80000,41000,143000,10,0
72000,34000,89000,15,0
66000,21500,210000,20,0
31000,14500,110000,5,0
53000,34000,46000,10,0
61000,21000,119000,10,0
107000,72500,62000,5,0
85000,36000,289000,15,0
22000,6500,12000,5,1
85000,34000,159000,20,0
63000,20500,231000,5,0
55000,29000,140000,15,0
93000,39500,308000,10,0
106000,66000,103000,10,0
103000,61000,93000,20,0
50000,24500,87000,10,0
66000,34500,188000,10,0
85000,46000,91000,5,0
104000,42500,76000,20,1
61000,21500,239000,10,0
69000,31000,105000,30,0
42000,14000,113000,5,0
39000,16500,110000,10,0
99000,51500,63000,30,0
116000,60000,288000,30,0
73000,25500,88000,30,1
105000,32000,86000,15,1
86000,29000,162000,20,1
56000,17500,183000,10,0
86000,39500,335000,20,0
121000,55000,270000,10,0
74000,29500,267000,20,0
122000,47000,465000,30,0
20000,9000,41000,20,0
100000,33500,101000,15,1
78000,30000,124000,15,0
66000,30500,123000,15,0
78000,26500,163000,10,0
20000,12500,55000,15,0
68000,39000,188000,5,0
86000,39000,207000,20,0
119000,43000,155000,5,0
59000,22500,105000,10,0
51000,17500,99000,5,0
60000,22000,169000,15,0
102000,48000,102000,15,0
85000,34000,114000,15,0
59000,38500,88000,15,0
90000,61500,208000,10,0
78000,45000,246000,15,0
104000,65000,359000,10,0
54000,21500,167000,30,0
65000,37000,203000,5,0
63000,20500,85000,5,0
31000,21000,112000,15,0
84000,47500,57000,10,0
83000,35500,198000,30,0
75000,45500,61000,20,0
68000,21000,177000,15,0
33000,15000,22000,5,0
62000,41000,170000,30,0
65000,26500,40000,10,0
51000,29000,55000,10,0
70000,31000,220000,20,0
87000,40000,136000,15,0
132000,79000,474000,30,0
80000,53000,67000,30,0
83000,30500,196000,5,0
73000,30000,273000,15,0
20000,10000,39000,30,0
74000,40500,122000,15,0
77000,37500,299000,5,0
149000,92500,296000,15,0
69000,42000,203000,5,0
84000,39000,312000,15,0
74000,23500,40000,10,1
40000,15000,100000,15,0
109000,54000,327000,15,0
98000,66000,193000,30,0
99000,52000,283000,10,0
48000,24500,159000,5,0
117000,69000,188000,5,0
33000,12000,54000,20,1
93000,33500,75000,20,1
141000,62000,542000,5,0
45000,31500,28000,10,0
58000,37500,125000,5,0
78000,44500,184000,15,0
60000,27500,60000,20,0
28000,14500,62000,20,0
77000,32500,118000,15,0
43000,24500,142000,20,0
89000,41500,301000,30,0
47000,16500,95000,10,0
121000,46500,245000,15,0
52000,28500,40000,15,0
65000,37500,114000,10,0
99000,33500,190000,5,0
38000,23500,78000,5,0
82000,51500,171000,20,0
114000,67000,94000,20,0
27000,15500,29000,20,0
81000,32000,164000,20,0
83000,55500,151000,15,0
98000,40000,98000,30,1
38000,14000,105000,30,0
35000,19500,32000,5,0
91000,40500,47000,5,0
84000,56500,222000,30,0
83000,40000,66000,5,0
85000,31000,60000,30,1
55000,37500,44000,5,0
82000,41500,310000,15,0
84000,42500,73000,30,0
54000,24500,186000,5,0
131000,83000,422000,10,0
89000,37000,307000,5,0
39000,12000,102000,20,0
95000,47500,99000,20,0
46000,31000,147000,10,0
99000,40500,245000,5,0
110000,44500,274000,20,0
50000,30000,132000,15,0
104000,63500,106000,20,0
87000,41500,132000,20,0
100000,63500,398000,30,0
132000,48500,470000,15,0
68000,30500,119000,5,0
52000,24000,206000,15,0
48000,20500,36000,15,0
51000,19500,88000,15,0
73000,32000,178000,10,0
85000,26000,227000,30,1
83000,48500,275000,10,0
100000,57500,308000,15,0
75000,36000,218000,15,0
119000,51000,465000,10,0
67000,31500,174000,5,0
157000,106000,82000,10,0
94000,51000,250000,20,0
49000,29000,155000,20,0
43000,17000,160000,5,0
89000,30000,167000,30,1
68000,22500,46000,30,1
96000,47000,91000,30,0
89000,52000,327000,30,0
73000,44500,279000,20,0
50000,29500,66000,15,0
30000,20000,86000,15,0
